"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"masculino","group C","bachelor's degree","free/reduced","none","76","66","68"
"masculino","group B","associate's degree","standard","completed","75","74","76"
"masculino","group B","some college","standard","completed","77","72","79"
"femenino","group E","some college","free/reduced","none","82","88","86"
"masculino","group C","associate's degree","standard","completed","63","59","60"
"femenino","group D","high school","standard","none","70","85","85"
"masculino","group D","associate's degree","standard","completed","84","71","76"
"masculino","group C","high school","standard","completed","68","60","63"
"masculino","group C","some college","free/reduced","none","56","58","50"
"femenino","group C","associate's degree","free/reduced","none","37","46","43"
"femenino","group D","some high school","standard","none","49","56","53"
"femenino","group E","some college","standard","completed","100","100","100"
"masculino","group D","some college","standard","none","83","68","65"
"femenino","group E","master's degree","free/reduced","completed","92","100","98"
"masculino","group E","master's degree","free/reduced","none","71","62","66"
"masculino","group D","associate's degree","free/reduced","completed","72","76","73"
"femenino","group D","bachelor's degree","free/reduced","none","37","53","48"
"masculino","group C","bachelor's degree","free/reduced","none","35","43","35"
"masculino","group C","some college","free/reduced","none","69","68","62"
"femenino","group C","bachelor's degree","standard","none","65","73","81"
"masculino","group E","high school","free/reduced","none","56","48","36"
"femenino","group D","high school","standard","none","40","46","57"
"femenino","group E","high school","standard","none","60","62","60"
"femenino","group C","some high school","standard","none","57","66","73"
"femenino","group C","some high school","free/reduced","completed","58","62","66"
"femenino","group D","some college","standard","completed","74","95","94"
"femenino","group B","some college","standard","none","77","77","83"
"masculino","group E","some college","free/reduced","none","66","57","53"
"femenino","group D","some college","standard","completed","62","79","87"
"masculino","group C","high school","free/reduced","none","29","38","27"
"femenino","group B","some college","standard","none","70","73","66"
"masculino","group A","associate's degree","free/reduced","none","67","64","60"
"femenino","group C","high school","standard","completed","81","91","94"
"masculino","group C","associate's degree","free/reduced","none","56","50","43"
"femenino","group D","some college","free/reduced","none","61","79","76"
"femenino","group D","high school","free/reduced","completed","47","54","56"
"masculino","group A","bachelor's degree","standard","completed","88","87","94"
"masculino","group C","some college","standard","completed","51","52","52"
"masculino","group C","master's degree","standard","none","68","60","62"
"femenino","group B","associate's degree","standard","none","68","71","71"
"femenino","group B","high school","free/reduced","none","47","49","50"
"masculino","group E","master's degree","free/reduced","completed","84","77","82"
"masculino","group B","some college","free/reduced","none","69","72","68"
"femenino","group D","bachelor's degree","standard","completed","52","69","75"
"masculino","group B","associate's degree","standard","none","80","79","79"
"masculino","group C","bachelor's degree","standard","none","100","84","88"
"masculino","group C","high school","standard","completed","53","59","64"
"femenino","group B","master's degree","standard","completed","59","73","74"
"femenino","group B","some college","standard","none","78","96","89"
"femenino","group B","associate's degree","standard","none","84","87","89"
"femenino","group C","high school","free/reduced","none","52","72","71"
"masculino","group C","associate's degree","free/reduced","none","81","78","75"
"femenino","group C","associate's degree","standard","completed","90","95","100"
"femenino","group A","high school","standard","none","63","73","66"
"masculino","group D","bachelor's degree","standard","completed","100","97","100"
"femenino","group B","some college","standard","none","56","63","62"
"femenino","group B","some college","standard","none","46","54","54"
"femenino","group B","high school","free/reduced","completed","75","85","90"
"femenino","group A","some college","standard","none","46","51","54"
"masculino","group A","some high school","free/reduced","none","42","40","40"
"femenino","group C","some high school","standard","completed","77","86","90"
"femenino","group C","some college","free/reduced","none","40","63","56"
"femenino","group D","high school","standard","none","69","71","76"
"masculino","group C","high school","standard","none","43","50","45"
"femenino","group C","associate's degree","standard","completed","69","75","71"
"femenino","group D","bachelor's degree","standard","completed","89","93","100"
"masculino","group B","associate's degree","standard","none","44","34","36"
"masculino","group D","high school","free/reduced","completed","82","83","77"
"masculino","group D","associate's degree","free/reduced","none","72","72","65"
"masculino","group C","bachelor's degree","standard","none","64","53","50"
"masculino","group D","some high school","standard","none","89","73","70"
"masculino","group E","associate's degree","free/reduced","none","58","53","54"
"femenino","group A","high school","standard","completed","63","81","78"
"femenino","group A","bachelor's degree","standard","none","54","66","69"
"masculino","group C","high school","free/reduced","completed","83","78","82"
"femenino","group C","high school","standard","none","57","74","64"
"femenino","group C","high school","standard","none","52","47","48"
"femenino","group D","high school","standard","completed","75","93","97"
"masculino","group E","high school","free/reduced","completed","67","66","64"
"masculino","group B","some high school","standard","none","58","60","53"
"femenino","group B","bachelor's degree","free/reduced","none","63","66","68"
"femenino","group D","some high school","free/reduced","none","49","64","57"
"femenino","group D","some college","free/reduced","none","38","47","52"
"femenino","group B","some college","standard","completed","74","85","84"
"masculino","group C","associate's degree","free/reduced","completed","69","84","82"
"femenino","group D","associate's degree","standard","none","77","82","80"
"femenino","group A","master's degree","free/reduced","none","40","59","59"
"femenino","group B","master's degree","standard","completed","96","98","100"
"femenino","group B","bachelor's degree","standard","none","85","86","85"
"masculino","group D","associate's degree","standard","none","85","77","76"
"masculino","group C","high school","standard","none","72","59","54"
"femenino","group B","associate's degree","free/reduced","none","63","78","73"
"masculino","group B","some high school","standard","none","58","67","58"
"masculino","group B","bachelor's degree","free/reduced","none","58","64","54"
"masculino","group C","high school","free/reduced","none","51","57","53"
"femenino","group D","master's degree","standard","completed","100","100","100"
"femenino","group D","master's degree","standard","none","77","84","92"
"masculino","group E","bachelor's degree","free/reduced","none","63","56","56"
"femenino","group C","some college","standard","none","64","67","68"
"masculino","group E","high school","standard","none","100","82","80"
"masculino","group C","associate's degree","standard","none","66","65","65"
"masculino","group E","bachelor's degree","standard","none","87","87","84"
"masculino","group C","high school","standard","none","73","72","69"
"masculino","group C","master's degree","free/reduced","completed","69","66","65"
"femenino","group C","high school","standard","none","62","64","63"
"femenino","group C","some high school","standard","none","40","48","49"
"masculino","group C","some college","free/reduced","completed","55","68","60"
"masculino","group D","high school","standard","completed","77","77","78"
"masculino","group D","some college","standard","completed","63","70","71"
"masculino","group D","associate's degree","standard","completed","85","85","91"
"femenino","group B","high school","free/reduced","none","30","43","40"
"masculino","group B","high school","standard","none","82","77","71"
"masculino","group D","associate's degree","free/reduced","completed","81","71","70"
"femenino","group C","some high school","standard","completed","92","100","97"
"masculino","group B","some college","free/reduced","none","50","48","36"
"femenino","group B","associate's degree","standard","none","54","60","56"
"masculino","group C","associate's degree","standard","completed","76","83","78"
"femenino","group D","some high school","standard","none","60","68","74"
"femenino","group A","associate's degree","free/reduced","completed","45","72","66"
"masculino","group D","high school","standard","none","80","77","72"
"masculino","group D","some high school","free/reduced","none","52","45","48"
"femenino","group C","high school","standard","completed","90","89","97"
"femenino","group D","high school","free/reduced","none","53","65","69"
"femenino","group C","associate's degree","standard","none","92","95","95"
"femenino","group C","some college","standard","completed","63","78","75"
"femenino","group B","some high school","standard","none","71","77","79"
"femenino","group D","some high school","standard","none","64","70","73"
"femenino","group C","some college","standard","completed","67","81","89"
"masculino","group C","high school","free/reduced","none","63","63","61"
"masculino","group B","high school","standard","none","63","53","44"
"masculino","group C","some high school","standard","none","59","49","46"
"masculino","group E","high school","standard","none","49","43","35"
"femenino","group D","master's degree","standard","none","75","84","86"
"femenino","group C","some high school","free/reduced","none","34","47","45"
"femenino","group B","associate's degree","free/reduced","none","53","70","69"
"masculino","group B","master's degree","standard","none","63","56","60"
"masculino","group C","associate's degree","standard","none","75","69","65"
"masculino","group E","associate's degree","free/reduced","none","63","61","62"
"femenino","group C","high school","standard","none","70","72","75"
"femenino","group C","some college","standard","none","61","73","70"
"masculino","group C","associate's degree","standard","none","74","61","59"
"masculino","group D","associate's degree","free/reduced","none","57","49","48"
"masculino","group C","some high school","free/reduced","completed","41","52","47"
"masculino","group D","some high school","standard","none","87","80","76"
"masculino","group C","high school","free/reduced","none","69","71","62"
"masculino","group C","associate's degree","free/reduced","none","69","77","70"
"masculino","group D","high school","standard","completed","58","56","56"
"femenino","group B","some college","free/reduced","completed","47","69","62"
"masculino","group D","associate's degree","standard","completed","78","69","71"
"femenino","group B","some college","free/reduced","completed","54","61","71"
"masculino","group C","some college","free/reduced","none","36","27","26"
"masculino","group B","bachelor's degree","standard","completed","94","92","92"
"femenino","group D","associate's degree","free/reduced","none","68","84","80"
"femenino","group E","high school","standard","none","90","88","84"
"masculino","group A","some college","standard","none","57","57","53"
"masculino","group D","some college","standard","completed","96","95","90"
"masculino","group B","some high school","standard","completed","68","63","62"
"femenino","group C","some high school","standard","completed","52","64","63"
"masculino","group E","associate's degree","standard","none","90","76","73"
"masculino","group C","some college","free/reduced","completed","71","82","75"
"femenino","group C","some college","free/reduced","completed","58","69","74"
"masculino","group C","some high school","free/reduced","none","41","39","34"
"masculino","group D","some high school","standard","completed","43","37","43"
"masculino","group D","high school","standard","none","85","70","71"
"masculino","group B","some high school","standard","none","71","72","69"
"femenino","group A","high school","standard","none","72","70","72"
"masculino","group D","associate's degree","free/reduced","none","70","62","66"
"femenino","group D","bachelor's degree","standard","none","89","100","100"
"femenino","group E","high school","standard","none","92","86","82"
"masculino","group E","some college","free/reduced","completed","80","79","81"
"masculino","group C","some high school","standard","none","80","70","60"
"femenino","group B","high school","standard","none","56","64","59"
"masculino","group E","high school","free/reduced","none","93","86","73"
"masculino","group C","associate's degree","free/reduced","completed","49","37","41"
"femenino","group E","master's degree","standard","none","59","57","58"
"femenino","group C","some high school","standard","completed","64","74","75"
"masculino","group D","some high school","standard","none","73","66","59"
"femenino","group B","some college","standard","completed","82","86","90"
"masculino","group D","high school","free/reduced","none","48","43","41"
"femenino","group A","some high school","free/reduced","completed","51","64","62"
"femenino","group E","some high school","free/reduced","completed","38","46","43"
"masculino","group B","some college","free/reduced","none","45","50","42"
"femenino","group A","some college","standard","completed","83","92","95"
"femenino","group B","some high school","standard","completed","45","57","56"
"masculino","group D","high school","free/reduced","none","66","64","62"
"masculino","group D","high school","free/reduced","completed","60","62","57"
"masculino","group C","associate's degree","standard","none","49","47","49"
"masculino","group D","bachelor's degree","standard","none","80","84","86"
"masculino","group E","high school","standard","none","75","68","66"
"masculino","group B","some college","free/reduced","completed","57","68","61"
"femenino","group B","some high school","free/reduced","none","25","36","37"
"masculino","group E","some college","free/reduced","none","90","87","81"
"femenino","group D","some college","standard","none","63","70","71"
"masculino","group E","associate's degree","standard","none","100","91","86"
"masculino","group C","associate's degree","free/reduced","none","76","68","66"
"femenino","group B","some high school","free/reduced","none","52","58","53"
"femenino","group B","master's degree","standard","completed","81","86","93"
"masculino","group C","associate's degree","standard","completed","90","89","87"
"masculino","group D","associate's degree","standard","none","83","82","81"
"femenino","group B","high school","standard","none","61","73","69"
"femenino","group E","associate's degree","standard","completed","79","69","75"
"masculino","group B","some college","standard","none","52","53","51"
"femenino","group B","bachelor's degree","standard","completed","62","65","67"
"femenino","group D","some college","standard","none","85","90","84"
"femenino","group E","high school","free/reduced","completed","74","96","95"
"masculino","group C","associate's degree","free/reduced","none","83","85","78"
"masculino","group C","some college","standard","none","78","72","72"
"femenino","group C","high school","free/reduced","none","41","43","40"
"femenino","group A","high school","standard","none","77","91","87"
"masculino","group C","bachelor's degree","standard","none","95","99","91"
"femenino","group B","high school","free/reduced","none","50","68","66"
"masculino","group C","some college","standard","none","74","76","70"
"femenino","group D","bachelor's degree","standard","completed","74","93","93"
"masculino","group E","high school","standard","none","70","62","61"
"masculino","group D","associate's degree","free/reduced","none","61","59","54"
"femenino","group A","master's degree","standard","completed","94","100","100"
"femenino","group D","high school","standard","none","66","84","77"
"femenino","group D","master's degree","standard","none","83","88","93"
"masculino","group D","high school","standard","none","75","63","60"
"masculino","group D","high school","free/reduced","completed","56","65","63"
"femenino","group B","some college","free/reduced","none","66","88","83"
"femenino","group B","high school","free/reduced","none","61","69","66"
"masculino","group C","some high school","standard","completed","70","79","73"
"masculino","group C","master's degree","standard","none","57","59","53"
"femenino","group C","associate's degree","free/reduced","completed","78","89","90"
"femenino","group C","some high school","standard","none","62","76","67"
"masculino","group C","some high school","standard","completed","64","53","49"
"femenino","group B","high school","free/reduced","none","55","66","65"
"femenino","group D","some college","standard","none","72","83","83"
"masculino","group A","some college","free/reduced","none","49","48","42"
"femenino","group D","some college","standard","none","62","60","63"
"masculino","group B","some high school","free/reduced","none","76","73","68"
"femenino","group C","master's degree","standard","completed","73","86","85"
"femenino","group C","associate's degree","standard","completed","72","76","78"
"masculino","group C","high school","standard","none","85","85","76"
"masculino","group A","some college","free/reduced","none","71","68","65"
"femenino","group C","some high school","free/reduced","none","28","38","31"
"masculino","group C","high school","free/reduced","none","41","42","38"
"masculino","group E","associate's degree","standard","none","78","72","68"
"masculino","group C","master's degree","free/reduced","none","48","52","44"
"masculino","group C","associate's degree","free/reduced","none","38","51","47"
"femenino","group A","bachelor's degree","standard","completed","91","100","100"
"femenino","group D","bachelor's degree","standard","none","71","81","80"
"femenino","group D","bachelor's degree","standard","none","84","87","92"
"masculino","group E","associate's degree","free/reduced","completed","63","60","63"
"femenino","group A","associate's degree","standard","completed","70","78","87"
"masculino","group B","bachelor's degree","free/reduced","completed","48","52","57"
"masculino","group D","some high school","standard","completed","68","72","73"
"femenino","group D","some college","standard","none","84","84","87"
"masculino","group D","high school","standard","none","61","62","60"
"masculino","group C","some high school","free/reduced","none","62","59","62"
"femenino","group C","master's degree","free/reduced","none","66","78","83"
"femenino","group C","high school","standard","completed","52","65","71"
"femenino","group D","some college","standard","completed","68","75","73"
"masculino","group D","some college","free/reduced","completed","62","68","71"
"masculino","group E","bachelor's degree","standard","completed","90","88","84"
"femenino","group A","master's degree","free/reduced","none","42","50","44"
"masculino","group D","associate's degree","free/reduced","completed","74","90","89"
"masculino","group B","associate's degree","standard","completed","62","61","61"
"masculino","group C","some college","standard","none","56","55","50"
"masculino","group C","high school","free/reduced","none","64","52","54"
"masculino","group D","high school","standard","completed","79","84","80"
"femenino","group C","some high school","standard","none","44","65","63"
"femenino","group B","some college","standard","completed","69","94","87"
"masculino","group A","some college","standard","none","53","48","48"
"masculino","group C","high school","standard","none","74","69","61"
"masculino","group C","associate's degree","standard","none","49","55","48"
"femenino","group D","associate's degree","free/reduced","none","57","71","71"
"femenino","group D","master's degree","standard","none","61","72","64"
"femenino","group C","master's degree","free/reduced","none","65","88","84"
"femenino","group C","some college","standard","none","51","60","52"
"femenino","group C","some high school","standard","none","49","51","41"
"masculino","group B","master's degree","free/reduced","none","56","65","56"
"masculino","group D","associate's degree","standard","none","65","62","63"
"masculino","group D","some college","standard","none","70","64","62"
"masculino","group D","some college","standard","none","91","95","88"
"femenino","group D","high school","standard","completed","48","56","64"
"femenino","group C","associate's degree","standard","completed","94","99","100"
"masculino","group B","master's degree","standard","none","77","76","73"
"femenino","group D","some high school","standard","none","59","78","75"
"femenino","group C","some college","free/reduced","none","57","75","70"
"femenino","group C","some high school","standard","none","76","82","74"
"masculino","group D","high school","standard","none","65","63","64"
"femenino","group B","master's degree","standard","completed","75","75","83"
"masculino","group D","master's degree","standard","none","70","66","65"
"masculino","group C","high school","standard","completed","79","79","70"
"masculino","group E","associate's degree","standard","completed","100","100","100"
"femenino","group A","bachelor's degree","standard","completed","83","96","99"
"femenino","group C","associate's degree","free/reduced","none","70","84","78"
"masculino","group E","some high school","standard","completed","97","80","88"
"femenino","group E","high school","free/reduced","none","33","32","35"
"masculino","group B","master's degree","free/reduced","none","38","40","41"
"masculino","group C","some college","standard","completed","46","51","47"
"femenino","group D","some college","free/reduced","none","13","36","37"
"masculino","group A","master's degree","standard","none","85","83","78"
"femenino","group B","some college","standard","none","79","79","80"
"femenino","group B","some high school","standard","none","76","81","79"
"femenino","group C","some high school","free/reduced","completed","53","70","65"
"masculino","group A","high school","standard","completed","68","70","63"
"masculino","group D","associate's degree","free/reduced","completed","67","70","70"
"masculino","group E","some college","standard","completed","100","84","88"
"masculino","group C","associate's degree","free/reduced","none","54","48","45"
"femenino","group E","associate's degree","free/reduced","none","72","73","70"
"masculino","group A","some college","standard","completed","91","97","95"
"masculino","group D","master's degree","standard","completed","87","81","86"
"femenino","group D","associate's degree","free/reduced","none","66","75","74"
"masculino","group C","some high school","standard","none","65","66","64"
"femenino","group E","associate's degree","free/reduced","completed","41","56","53"
"femenino","group C","associate's degree","standard","none","67","69","65"
"masculino","group E","high school","standard","none","94","89","86"
"femenino","group B","bachelor's degree","free/reduced","completed","57","70","68"
"masculino","group A","high school","standard","none","89","83","80"
"masculino","group A","associate's degree","standard","completed","77","73","80"
"masculino","group C","some high school","standard","none","57","60","50"
"masculino","group D","some college","standard","completed","72","72","72"
"masculino","group D","bachelor's degree","standard","completed","98","94","95"
"femenino","group D","master's degree","standard","none","87","97","100"
"masculino","group C","some high school","free/reduced","none","61","57","55"
"femenino","group C","master's degree","standard","none","85","100","97"
"femenino","group D","some high school","standard","none","81","85","91"
"femenino","group D","high school","standard","completed","74","84","79"
"masculino","group C","bachelor's degree","standard","none","98","92","90"
"femenino","group D","some college","standard","none","86","84","89"
"masculino","group C","bachelor's degree","standard","completed","85","81","82"
"masculino","group C","some college","standard","none","68","71","63"
"femenino","group E","high school","free/reduced","completed","66","78","77"
"masculino","group B","some high school","free/reduced","completed","75","74","71"
"masculino","group C","bachelor's degree","standard","none","79","57","58"
"femenino","group B","bachelor's degree","free/reduced","none","59","85","82"
"masculino","group B","master's degree","free/reduced","none","60","62","58"
"masculino","group D","high school","standard","none","69","60","54"
"femenino","group B","high school","free/reduced","none","49","54","58"
"masculino","group D","some college","standard","none","62","44","52"
"femenino","group E","high school","free/reduced","completed","70","84","83"
"masculino","group D","bachelor's degree","standard","none","71","57","60"
"masculino","group C","bachelor's degree","standard","none","71","69","65"
"femenino","group C","some high school","free/reduced","none","50","59","54"
"femenino","group B","high school","standard","none","52","55","57"
"masculino","group E","some college","free/reduced","completed","75","65","66"
"femenino","group C","bachelor's degree","standard","none","51","64","63"
"masculino","group C","some high school","standard","none","64","48","50"
"femenino","group A","some college","free/reduced","completed","65","76","72"
"masculino","group B","master's degree","standard","none","99","81","87"
"femenino","group B","associate's degree","standard","none","60","62","58"
"femenino","group B","some college","standard","none","70","78","80"
"masculino","group A","some college","standard","completed","77","76","77"
"masculino","group B","high school","free/reduced","none","37","28","23"
"masculino","group E","associate's degree","free/reduced","none","73","73","61"
"femenino","group B","associate's degree","free/reduced","completed","53","74","75"
"femenino","group B","associate's degree","standard","none","67","58","62"
"femenino","group B","some college","free/reduced","none","67","79","80"
"masculino","group B","high school","free/reduced","none","51","57","50"
"masculino","group D","high school","standard","completed","64","71","70"
"masculino","group E","some college","free/reduced","none","55","42","43"
"masculino","group D","associate's degree","free/reduced","completed","55","39","51"
"masculino","group E","associate's degree","standard","none","86","77","78"
"femenino","group B","master's degree","standard","none","71","88","85"
"masculino","group C","high school","free/reduced","none","71","63","64"
"femenino","group C","some high school","free/reduced","none","51","67","69"
"femenino","group E","some college","standard","completed","75","76","85"
"masculino","group C","some high school","free/reduced","none","45","31","27"
"masculino","group B","some high school","standard","none","59","54","48"
"femenino","group E","high school","free/reduced","none","64","69","68"
"masculino","group A","some college","standard","completed","78","69","73"
"masculino","group D","high school","free/reduced","none","59","61","58"
"masculino","group E","bachelor's degree","free/reduced","none","80","70","71"
"masculino","group B","associate's degree","standard","completed","68","82","77"
"femenino","group B","associate's degree","standard","none","77","81","79"
"masculino","group C","high school","standard","none","66","67","64"
"femenino","group C","some college","free/reduced","completed","26","44","46"
"masculino","group D","some college","standard","completed","80","66","69"
"femenino","group D","some high school","free/reduced","none","48","62","61"
"femenino","group A","associate's degree","standard","none","52","64","55"
"femenino","group D","master's degree","free/reduced","none","54","64","64"
"femenino","group C","some college","standard","completed","59","68","67"
"masculino","group D","high school","standard","none","77","62","65"
"femenino","group B","some college","free/reduced","none","64","70","69"
"masculino","group D","high school","standard","none","83","72","68"
"masculino","group E","high school","free/reduced","none","70","73","69"
"masculino","group C","some high school","standard","none","72","68","67"
"femenino","group B","associate's degree","standard","none","83","78","79"
"femenino","group B","associate's degree","standard","none","52","58","57"
"femenino","group C","some college","free/reduced","completed","53","73","74"
"masculino","group D","some college","standard","none","55","55","55"
"masculino","group C","associate's degree","standard","none","65","63","61"
"femenino","group E","some high school","standard","none","60","67","64"
"masculino","group E","high school","free/reduced","completed","64","62","59"
"masculino","group C","associate's degree","standard","none","71","72","69"
"masculino","group C","bachelor's degree","free/reduced","completed","61","71","65"
"masculino","group D","associate's degree","standard","none","61","55","58"
"femenino","group C","master's degree","standard","none","65","74","79"
"femenino","group D","some high school","standard","completed","71","83","89"
"masculino","group E","associate's degree","free/reduced","none","48","49","44"
"masculino","group E","high school","free/reduced","completed","75","80","75"
"masculino","group D","associate's degree","free/reduced","none","54","66","65"
"femenino","group C","master's degree","standard","none","70","64","65"
"masculino","group D","some high school","standard","none","91","77","72"
"femenino","group D","some high school","standard","completed","33","44","50"
"femenino","group B","high school","standard","none","45","50","41"
"masculino","group A","high school","free/reduced","none","45","33","32"
"masculino","group D","bachelor's degree","free/reduced","none","62","61","57"
"masculino","group E","associate's degree","free/reduced","completed","92","79","77"
"femenino","group D","some college","standard","none","74","75","79"
"femenino","group C","high school","standard","completed","81","79","83"
"masculino","group C","associate's degree","free/reduced","none","76","71","66"
"femenino","group C","associate's degree","standard","completed","57","72","73"
"masculino","group A","some college","free/reduced","none","63","61","55"
"femenino","group D","high school","standard","completed","57","62","73"
"femenino","group B","some college","standard","completed","46","65","64"
"masculino","group E","some high school","free/reduced","completed","49","50","45"
"femenino","group D","some high school","standard","none","54","60","65"
"masculino","group C","some high school","standard","completed","89","87","90"
"masculino","group D","bachelor's degree","standard","completed","77","70","78"
"femenino","group C","bachelor's degree","standard","none","46","63","60"
"masculino","group B","associate's degree","standard","completed","66","59","70"
"femenino","group C","high school","standard","none","48","63","53"
"masculino","group D","associate's degree","standard","completed","83","76","81"
"masculino","group C","high school","standard","completed","69","75","74"
"masculino","group E","bachelor's degree","free/reduced","none","73","52","54"
"femenino","group D","some college","standard","none","43","59","59"
"masculino","group D","master's degree","standard","completed","91","84","83"
"masculino","group C","associate's degree","standard","completed","49","58","55"
"masculino","group B","master's degree","standard","none","87","86","84"
"masculino","group B","some high school","standard","completed","46","46","44"
"femenino","group D","some high school","standard","completed","63","61","71"
"masculino","group E","bachelor's degree","standard","none","100","83","86"
"femenino","group E","bachelor's degree","standard","none","86","87","89"
"femenino","group A","some high school","free/reduced","completed","55","73","70"
"femenino","group E","master's degree","free/reduced","none","84","100","99"
"femenino","group B","some high school","free/reduced","none","39","51","48"
"masculino","group B","high school","standard","none","67","57","52"
"femenino","group D","some high school","standard","completed","85","100","97"
"masculino","group C","some high school","standard","none","64","51","44"
"femenino","group E","associate's degree","standard","none","81","77","74"
"masculino","group C","associate's degree","standard","none","78","71","67"
"femenino","group B","some high school","standard","none","59","59","58"
"masculino","group C","associate's degree","standard","none","74","76","70"
"femenino","group B","some college","free/reduced","completed","31","29","35"
"femenino","group C","some high school","free/reduced","completed","54","55","65"
"masculino","group C","high school","free/reduced","none","51","51","45"
"femenino","group B","bachelor's degree","free/reduced","completed","57","65","68"
"femenino","group C","some high school","free/reduced","none","39","50","49"
"masculino","group C","some college","standard","none","64","48","48"
"masculino","group C","master's degree","free/reduced","completed","69","79","72"
"masculino","group A","some high school","standard","none","58","50","47"
"femenino","group D","high school","standard","none","63","71","75"
"masculino","group E","associate's degree","standard","none","74","73","67"
"masculino","group E","some college","free/reduced","none","78","84","77"
"masculino","group A","some college","standard","completed","78","78","74"
"femenino","group B","some college","standard","none","75","76","81"
"masculino","group D","some college","standard","completed","70","60","65"
"masculino","group D","some college","standard","none","67","55","53"
"femenino","group C","associate's degree","standard","none","87","93","88"
"masculino","group C","some college","standard","none","69","63","66"
"femenino","group A","associate's degree","standard","none","58","54","58"
"masculino","group E","high school","free/reduced","completed","86","82","75"
"masculino","group C","high school","standard","none","73","70","65"
"masculino","group D","associate's degree","free/reduced","completed","85","91","92"
"femenino","group C","some high school","free/reduced","none","32","35","41"
"femenino","group C","some college","standard","none","73","74","82"
"masculino","group A","some college","standard","completed","65","60","62"
